filename;cvc4;z3
verify_inv_ne_bvshl1_4bit16.smt2;unsat;unsat
verify_inv_bvule_bvashr0_4bit30.smt2;unsat;unsat
verify_inv_bvule_bvshl0_4bit19.smt2;unsat;unsat
verify_inv_ne_bvshl1_4bit6.smt2;unsat;unsat
verify_inv_bvuge_bvudiv1_4bit16.smt2;unsat;unsat
verify_inv_bvule_bvurem1_4bit9.smt2;unsat;unsat
verify_inv_bvult_bvshl1_4bit11.smt2;unsat;unsat
verify_inv_eq_bvshl0_4bit24.smt2;unsat;unsat
verify_inv_bvsgt_bvnot_4bit18.smt2;unsat;unsat
verify_inv_bvslt_bvor_4bit13.smt2;unsat;unsat
verify_inv_bvslt_bvneg_4bit30.smt2;unsat;unsat
verify_inv_ne_bvshl1_4bit27.smt2;unsat;unsat
verify_inv_bvsle_bvlshr0_4bit14.smt2;unsat;unsat
verify_inv_ne_bvneg_4bit25.smt2;unsat;unsat
verify_inv_bvule_bvudiv0_4bit12.smt2;unsat;unsat
verify_inv_bvugt_bvadd_4bit4.smt2;unsat;unsat
verify_inv_bvslt_bvashr1_4bit14.smt2;unsat;unsat
verify_inv_bvule_bvmul_4bit14.smt2;unsat;unsat
verify_inv_ne_bvor_4bit27.smt2;unsat;unsat
verify_inv_ne_bvmul_4bit6.smt2;unsat;unsat
verify_inv_bvsge_bvashr1_4bit20.smt2;unsat;unsat
verify_inv_bvsge_bvudiv0_4bit6.smt2;sat;sat
verify_inv_bvult_bvlshr0_4bit19.smt2;unsat;unsat
verify_inv_bvslt_bvurem0_4bit13.smt2;unsat;unsat
verify_inv_bvsge_bvashr1_4bit9.smt2;unsat;unsat
verify_inv_ne_bvurem0_4bit20.smt2;unsat;unsat
verify_inv_bvsge_bvor_4bit8.smt2;unsat;unsat
verify_inv_bvuge_bvnot_4bit26.smt2;unsat;unsat
verify_inv_bvult_bvand_4bit23.smt2;unsat;unsat
verify_inv_eq_bvadd_4bit18.smt2;unsat;unsat
verify_inv_bvslt_bvurem0_4bit10.smt2;unsat;unsat
verify_inv_bvult_bvshl0_4bit25.smt2;unsat;unsat
verify_inv_bvsge_bvshl0_4bit25.smt2;unsat;unsat
verify_inv_bvsle_bvashr1_4bit17.smt2;unsat;unsat
verify_inv_ne_bvand_4bit27.smt2;unsat;unsat
verify_inv_bvuge_bvor_4bit31.smt2;unsat;unsat
verify_inv_bvslt_bvneg_4bit11.smt2;unsat;unsat
verify_inv_bvsge_bvlshr1_4bit25.smt2;sat;sat
