DIRECTORY;cvc4_cbqi;cvc4_default;cvc4_fmf;cvc4_tplanes;cvc4_tplanes_cbqi;cvc4_tplanes_fmf
BENCHMARK;STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s]
full-int_check_bvslt_bvneg_rtl.smt2;ok;1;0;1;9.77;ok;1;0;1;0.08;mo;0;0;0;767.88;ok;1;0;1;0.08;ok;1;0;1;10.11;mo;0;0;0;752.22
full-int_check_bvslt_bvnot_ltr.smt2;ok;1;0;1;0.76;ok;1;0;1;0.37;to;0;0;0;10800.01;ok;1;0;1;0.37;ok;1;0;1;0.69;to;0;0;0;10800.12
full-int_check_bvslt_bvnot_rtl.smt2;ok;1;0;1;0.22;ok;1;0;1;0.0;ok;1;0;1;0.14;ok;1;0;1;0.0;ok;1;0;1;0.24;ok;1;0;1;0.09
full-int_check_bvslt_bvor_ltr.smt2;to;0;0;0;10800.08;ok;0;0;0;0.16;to;0;0;0;10800.18;ok;0;0;0;0.17;to;0;0;0;10800.09;to;0;0;0;10800.13
full-int_check_bvslt_bvor_rtl.smt2;to;0;0;0;10800.04;ok;0;0;0;1.63;to;0;0;0;10800.11;ok;0;0;0;1.94;to;0;0;0;10800.05;to;0;0;0;10800.26
full-int_check_bvslt_bvshl0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvslt_bvshl0_rtl.smt2;mo;0;0;0;4019.75;mo;0;0;0;3264.39;to;0;0;0;10800.01;mo;0;0;0;3359.4;mo;0;0;0;4104.52;to;0;0;0;10750.11
full-int_check_bvslt_bvshl1_ltr.smt2;mo;0;0;0;1248.31;mo;0;0;0;1196.47;mo;0;0;0;3787.85;mo;0;0;0;1199.65;mo;0;0;0;1252.79;mo;0;0;0;3619.75
full-int_check_bvslt_bvshl1_rtl.smt2;to;0;0;0;10800.03;ok;1;0;1;32.35;mo;0;0;0;1067.08;ok;1;0;1;33.58;to;0;0;0;10800.04;mo;0;0;0;1033.14
full-int_check_bvslt_bvudiv0_ltr.smt2;ok;1;0;1;50.92;ok;1;0;1;12.76;to;0;0;0;10800.2;ok;1;0;1;12.29;ok;1;0;1;50.22;to;0;0;0;10800.2
full-int_check_bvslt_bvudiv0_rtl.smt2;ok;1;0;1;0.7;ok;1;0;1;0.18;ok;1;0;1;2.65;ok;1;0;1;0.23;ok;1;0;1;0.77;ok;1;0;1;2.6
full-int_check_bvslt_bvudiv1_ltr.smt2;to;0;0;0;10800.05;ok;0;0;0;2.02;to;0;0;0;10800.1;ok;0;0;0;2.05;to;0;0;0;10800.06;to;0;0;0;10800.15
