,ic_name,direction,encoding,cond_inv,proved
511,bvsle_bvudiv0,ltr,partial,no_inv,no
512,bvsle_bvudiv0,ltr,qf,inv_a,yes
513,bvsle_bvudiv0,ltr,qf,inv_g,yes
514,bvsle_bvudiv0,ltr,qf,inv_r,yes
515,bvsle_bvudiv0,ltr,qf,no_inv,no
516,bvsle_bvudiv0,rtl,full,NA,yes
517,bvsle_bvudiv0,rtl,partial,NA,yes
518,bvsle_bvudiv0,rtl,qf,NA,yes
519,bvsle_bvudiv1,ltr,full,no_inv,no
520,bvsle_bvudiv1,ltr,partial,no_inv,no
521,bvsle_bvudiv1,ltr,qf,no_inv,no
522,bvsle_bvudiv1,rtl,full,NA,yes
523,bvsle_bvudiv1,rtl,partial,NA,yes
524,bvsle_bvudiv1,rtl,qf,NA,yes
