config,ic_name,direction,proved
cvc4_tplanes_saturate_no_e_matching,bvsle_bvor,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvor,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvshl0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvshl0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvshl1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvshl1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvudiv0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvudiv0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvudiv1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvudiv1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvurem0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvurem0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvurem1,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvurem1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvadd,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvadd,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvand,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvand,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvashr0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvashr0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvashr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvashr1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvlshr0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvlshr0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvlshr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvlshr1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvslt_bvmul,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvmul,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvslt_bvneg,ltr,yes
