,ic_name,direction,encoding,cond_inv,seconds
475,bvuge_bvudiv1,rtl,combined,NA,0
476,bvuge_bvudiv1,rtl,full,NA,0
477,bvuge_bvudiv1,rtl,partial,NA,0
478,bvuge_bvudiv1,rtl,qf,NA,0
479,bvuge_bvurem0,ltr,combined,inv_a,0
480,bvuge_bvurem0,ltr,combined,inv_g,0
481,bvuge_bvurem0,ltr,combined,inv_r,0
482,bvuge_bvurem0,ltr,combined,no_inv,17
483,bvuge_bvurem0,ltr,full,inv_a,0
484,bvuge_bvurem0,ltr,full,inv_g,0
485,bvuge_bvurem0,ltr,full,inv_r,0
486,bvuge_bvurem0,ltr,full,no_inv,0
487,bvuge_bvurem0,ltr,partial,inv_a,0
488,bvuge_bvurem0,ltr,partial,inv_g,0
489,bvuge_bvurem0,ltr,partial,inv_r,0
490,bvuge_bvurem0,ltr,partial,no_inv,2
491,bvuge_bvurem0,ltr,qf,inv_a,0
492,bvuge_bvurem0,ltr,qf,inv_g,0
493,bvuge_bvurem0,ltr,qf,inv_r,0
494,bvuge_bvurem0,ltr,qf,no_inv,0
495,bvuge_bvurem0,rtl,combined,NA,0
496,bvuge_bvurem0,rtl,full,NA,0
497,bvuge_bvurem0,rtl,partial,NA,0
498,bvuge_bvurem0,rtl,qf,NA,0
499,bvuge_bvurem1,ltr,combined,inv_a,3
500,bvuge_bvurem1,ltr,combined,inv_g,3
501,bvuge_bvurem1,ltr,combined,inv_r,3
502,bvuge_bvurem1,ltr,combined,no_inv,11
503,bvuge_bvurem1,rtl,combined,NA,15
504,bvuge_bvurem1,rtl,partial,NA,1
505,bvugt_bvadd,ltr,combined,inv_a,0
506,bvugt_bvadd,ltr,combined,inv_g,0
507,bvugt_bvadd,ltr,combined,inv_r,0
508,bvugt_bvadd,ltr,full,inv_a,0
509,bvugt_bvadd,ltr,full,inv_g,0
510,bvugt_bvadd,ltr,full,inv_r,0
511,bvugt_bvadd,ltr,partial,inv_a,0
512,bvugt_bvadd,ltr,partial,inv_g,0
513,bvugt_bvadd,ltr,partial,inv_r,0
514,bvugt_bvadd,ltr,qf,inv_a,0
515,bvugt_bvadd,ltr,qf,inv_g,0
516,bvugt_bvadd,ltr,qf,inv_r,0
517,bvugt_bvadd,rtl,combined,NA,0
518,bvugt_bvadd,rtl,full,NA,0
519,bvugt_bvadd,rtl,partial,NA,0
520,bvugt_bvadd,rtl,qf,NA,0
521,bvugt_bvand,ltr,combined,inv_a,0
522,bvugt_bvand,ltr,combined,inv_g,0
523,bvugt_bvand,ltr,combined,inv_r,0
524,bvugt_bvand,ltr,combined,no_inv,0
525,bvugt_bvand,ltr,partial,inv_a,0
526,bvugt_bvand,ltr,partial,inv_g,0
527,bvugt_bvand,ltr,partial,inv_r,0
528,bvugt_bvand,ltr,partial,no_inv,0
529,bvugt_bvand,rtl,combined,NA,0
530,bvugt_bvand,rtl,partial,NA,0
531,bvugt_bvashr0,ltr,combined,inv_a,18
