encoding,config,ic_name,direction,proved
ahmed,z3,bvugt_bvnot,ltr,yes
ahmed,z3,bvugt_bvnot,rtl,yes
ahmed,z3,bvugt_bvor,ltr,yes
ahmed,z3,bvugt_bvor,rtl,yes
ahmed,z3,bvugt_bvshl0,ltr,yes
ahmed,z3,bvugt_bvshl0,rtl,no
ahmed,z3,bvugt_bvshl1,ltr,yes
ahmed,z3,bvugt_bvshl1,rtl,yes
ahmed,z3,bvugt_bvudiv0,ltr,yes
ahmed,z3,bvugt_bvudiv0,rtl,no
ahmed,z3,bvugt_bvudiv1,ltr,yes
ahmed,z3,bvugt_bvudiv1,rtl,no
ahmed,z3,bvugt_bvurem0,ltr,yes
ahmed,z3,bvugt_bvurem0,rtl,no
ahmed,z3,bvugt_bvurem1,ltr,yes
ahmed,z3,bvugt_bvurem1,rtl,no
ahmed,z3,bvule_bvadd,ltr,no
ahmed,z3,bvule_bvadd,rtl,yes
ahmed,z3,bvule_bvand,ltr,yes
ahmed,z3,bvule_bvand,rtl,yes
ahmed,z3,bvule_bvashr0,ltr,no
ahmed,z3,bvule_bvashr0,rtl,yes
ahmed,z3,bvule_bvashr1,ltr,no
ahmed,z3,bvule_bvashr1,rtl,no
ahmed,z3,bvule_bvlshr0,ltr,yes
ahmed,z3,bvule_bvlshr0,rtl,yes
ahmed,z3,bvule_bvlshr1,ltr,yes
ahmed,z3,bvule_bvlshr1,rtl,yes
ahmed,z3,bvule_bvmul,ltr,yes
ahmed,z3,bvule_bvmul,rtl,yes
ahmed,z3,bvule_bvneg,ltr,yes
ahmed,z3,bvule_bvneg,rtl,yes
ahmed,z3,bvule_bvnot,ltr,yes
ahmed,z3,bvule_bvnot,rtl,yes
