encoding,ic_name,direction,proved
partial,bvuge_bvand,rtl,yes
partial,bvuge_bvashr0,ltr,yes
partial,bvuge_bvashr0,rtl,yes
partial,bvuge_bvashr1,ltr,no
partial,bvuge_bvashr1,rtl,yes
partial,bvuge_bvlshr0,ltr,no
partial,bvuge_bvlshr0,rtl,yes
partial,bvuge_bvlshr1,ltr,yes
partial,bvuge_bvlshr1,rtl,yes
partial,bvuge_bvmul,ltr,no
partial,bvuge_bvmul,rtl,no
partial,bvuge_bvneg,ltr,yes
partial,bvuge_bvneg,rtl,yes
partial,bvuge_bvnot,ltr,yes
partial,bvuge_bvnot,rtl,yes
partial,bvuge_bvor,ltr,yes
partial,bvuge_bvor,rtl,yes
partial,bvuge_bvshl0,ltr,yes
partial,bvuge_bvshl0,rtl,no
partial,bvuge_bvshl1,ltr,no
partial,bvuge_bvshl1,rtl,yes
partial,bvuge_bvudiv0,ltr,no
partial,bvuge_bvudiv0,rtl,no
partial,bvuge_bvudiv1,ltr,yes
partial,bvuge_bvudiv1,rtl,yes
partial,bvuge_bvurem0,ltr,yes
partial,bvuge_bvurem0,rtl,yes
partial,bvuge_bvurem1,ltr,no
partial,bvuge_bvurem1,rtl,no
partial,bvugt_bvadd,ltr,yes
partial,bvugt_bvadd,rtl,yes
partial,bvugt_bvand,ltr,no
partial,bvugt_bvand,rtl,yes
partial,bvugt_bvashr0,ltr,yes
partial,bvugt_bvashr0,rtl,yes
partial,bvugt_bvashr1,ltr,no
partial,bvugt_bvashr1,rtl,yes
partial,bvugt_bvlshr0,ltr,yes
partial,bvugt_bvlshr0,rtl,no
partial,bvugt_bvlshr1,ltr,yes
partial,bvugt_bvlshr1,rtl,yes
partial,bvugt_bvmul,ltr,no
partial,bvugt_bvmul,rtl,no
partial,bvugt_bvneg,ltr,yes
partial,bvugt_bvneg,rtl,yes
partial,bvugt_bvnot,ltr,yes
partial,bvugt_bvnot,rtl,yes
partial,bvugt_bvor,ltr,yes
partial,bvugt_bvor,rtl,yes
partial,bvugt_bvshl0,ltr,yes
partial,bvugt_bvshl0,rtl,no
partial,bvugt_bvshl1,ltr,no
partial,bvugt_bvshl1,rtl,yes
partial,bvugt_bvudiv0,ltr,yes
partial,bvugt_bvudiv0,rtl,no
partial,bvugt_bvudiv1,ltr,yes
partial,bvugt_bvudiv1,rtl,yes
partial,bvugt_bvurem0,ltr,yes
partial,bvugt_bvurem0,rtl,yes
partial,bvugt_bvurem1,ltr,yes
partial,bvugt_bvurem1,rtl,yes
partial,bvule_bvadd,ltr,yes
partial,bvule_bvadd,rtl,yes
partial,bvule_bvand,ltr,yes
partial,bvule_bvand,rtl,yes
partial,bvule_bvashr0,ltr,yes
partial,bvule_bvashr0,rtl,yes
partial,bvule_bvashr1,ltr,no
partial,bvule_bvashr1,rtl,yes
partial,bvule_bvlshr0,ltr,no
partial,bvule_bvlshr0,rtl,yes
partial,bvule_bvlshr1,ltr,no
partial,bvule_bvlshr1,rtl,yes
partial,bvule_bvmul,ltr,yes
partial,bvule_bvmul,rtl,yes
partial,bvule_bvneg,ltr,yes
partial,bvule_bvneg,rtl,yes
partial,bvule_bvnot,ltr,yes
partial,bvule_bvnot,rtl,yes
partial,bvule_bvor,ltr,yes
partial,bvule_bvor,rtl,yes
partial,bvule_bvshl0,ltr,yes
partial,bvule_bvshl0,rtl,yes
partial,bvule_bvshl1,ltr,no
partial,bvule_bvshl1,rtl,yes
partial,bvule_bvudiv0,ltr,yes
partial,bvule_bvudiv0,rtl,yes
partial,bvule_bvudiv1,ltr,yes
partial,bvule_bvudiv1,rtl,no
partial,bvule_bvurem0,ltr,yes
partial,bvule_bvurem0,rtl,yes
partial,bvule_bvurem1,ltr,yes
partial,bvule_bvurem1,rtl,yes
partial,bvult_bvadd,ltr,yes
partial,bvult_bvadd,rtl,yes
partial,bvult_bvand,ltr,yes
partial,bvult_bvand,rtl,yes
partial,bvult_bvashr0,ltr,yes
partial,bvult_bvashr0,rtl,yes
partial,bvult_bvashr1,ltr,no
partial,bvult_bvashr1,rtl,yes
partial,bvult_bvlshr0,ltr,no
partial,bvult_bvlshr0,rtl,yes
partial,bvult_bvlshr1,ltr,no
partial,bvult_bvlshr1,rtl,yes
partial,bvult_bvmul,ltr,yes
partial,bvult_bvmul,rtl,yes
partial,bvult_bvneg,ltr,yes
partial,bvult_bvneg,rtl,yes
partial,bvult_bvnot,ltr,yes
partial,bvult_bvnot,rtl,yes
partial,bvult_bvor,ltr,yes
partial,bvult_bvor,rtl,yes
partial,bvult_bvshl0,ltr,yes
partial,bvult_bvshl0,rtl,yes
partial,bvult_bvshl1,ltr,no
partial,bvult_bvshl1,rtl,yes
partial,bvult_bvudiv0,ltr,yes
partial,bvult_bvudiv0,rtl,yes
partial,bvult_bvudiv1,ltr,yes
partial,bvult_bvudiv1,rtl,no
partial,bvult_bvurem0,ltr,yes
partial,bvult_bvurem0,rtl,yes
partial,bvult_bvurem1,ltr,yes
partial,bvult_bvurem1,rtl,yes
partial,eq_bvadd,ltr,yes
partial,eq_bvadd,rtl,yes
partial,eq_bvand,ltr,yes
partial,eq_bvand,rtl,no
partial,eq_bvashr0,ltr,no
partial,eq_bvashr0,rtl,no
partial,eq_bvashr1,ltr,no
partial,eq_bvashr1,rtl,no
partial,eq_bvlshr0,ltr,yes
partial,eq_bvlshr0,rtl,yes
partial,eq_bvlshr1,ltr,no
partial,eq_bvlshr1,rtl,yes
partial,eq_bvmul,ltr,no
partial,eq_bvmul,rtl,no
partial,eq_bvneg,ltr,yes
partial,eq_bvneg,rtl,yes
partial,eq_bvnot,ltr,yes
partial,eq_bvnot,rtl,yes
partial,eq_bvor,ltr,yes
partial,eq_bvor,rtl,no
